"app_name","profit","rank","overall_rank","apple_content","android_content"
"Angry Birds Blast","$460,000.00","1","3","4+","Everyone"
"Animal Jam - Play Wild!","$460,000.00","1","3","9+","Everyone"
"Army of Heroes","$460,000.00","1","3","12+","Everyone 10+"
"Bejeweled Classic","$460,000.00","1","3","4+","Everyone"
"Dude Perfect","$460,000.00","1","3","4+","Everyone"
"Dude Perfect 2","$460,000.00","1","3","4+","Everyone"
"Gear.Club - True Racing","$460,000.00","1","3","4+","Everyone"
"Hitman Sniper","$460,000.00","1","3","17+","Mature 17+"
"Narcos: Cartel Wars","$460,000.00","1","3","12+","Teen"
"Nyan Cat: Lost In Space","$460,000.00","1","3","4+","Everyone 10+"
"OK K.O.! Lakewood Plaza Turbo","$460,000.00","1","3","9+","Everyone 10+"
"PAC-MAN Pop","$460,000.00","1","3","4+","Everyone"
"Pineapple Pen","$460,000.00","1","3","4+","Everyone"
"Plants vs. Zombies™ Heroes","$460,000.00","1","3","9+","Everyone"
"Smashy Road: Arena","$460,000.00","1","3","9+","Everyone 10+"
"Super Jabber Jump","$460,000.00","1","3","4+","Everyone"
"WGT Golf Game by Topgolf","$460,000.00","1","3","17+","Everyone"
"Dragon Hills","$450,100.00","18","42","9+","Everyone 10+"
"AJ Jump: Animal Jam Kangaroos!","$440,200.00","19","43","4+","Everyone"
"Where's My Water?","$440,200.00","19","43","4+","Everyone"
"Vikings: an Archer's Journey","$440,100.00","21","45","9+","Everyone"
"Angry Birds Space HD","$430,000.00","22","46","4+","Everyone"
"Bike Unchained","$430,000.00","22","46","4+","Everyone"
"Crazy Freekick","$430,000.00","22","46","4+","Everyone"
"Deck Heroes: Legacy","$430,000.00","22","46","17+","Teen"
"Endless Ducker","$430,000.00","22","46","4+","Everyone"
"Mad Skills Motocross","$430,000.00","22","46","12+","Everyone"
"My Emma :)","$430,000.00","22","46","4+","Everyone"
"Shopkins World!","$430,000.00","22","46","4+","Everyone"
"Tiny Archers","$430,000.00","22","46","12+","Mature 17+"
"Tomb of the Mask","$430,000.00","22","46","9+","Everyone"
"sugar, sugar","$428,000.00","32","64","4+","Everyone"
"Bloons TD 5","$420,200.00","33","65","9+","Everyone"
"Five Nights at Freddy's","$420,200.00","33","65","12+","Teen"
"Five Nights at Freddy's 2","$420,200.00","33","65","12+","Teen"
"Five Nights at Freddy's 3","$420,200.00","33","65","12+","Teen"
"Riptide GP: Renegade","$420,200.00","33","65","9+","Everyone 10+"
"The Game of Life","$420,200.00","33","65","4+","Everyone"
"Tsuro - The Game of the Path","$420,200.00","33","65","4+","Everyone"
"Can Knockdown 3","$420,100.00","40","75","4+","Everyone"
"Hitman GO","$420,100.00","40","75","9+","Everyone 10+"
"Ao Oni2","$412,000.00","42","77","12+","Teen"
"Bejeweled Blitz","$412,000.00","42","77","4+","Everyone"
"Cartoon Wars 3","$412,000.00","42","77","12+","Teen"
"diep.io","$412,000.00","42","77","9+","Everyone"
"Does not Commute","$412,000.00","42","77","4+","Everyone"
"Driving Zone","$412,000.00","42","77","4+","Everyone"
"Get 'Em","$412,000.00","42","77","9+","Everyone 10+"
"King of Avalon: Dragon Warfare","$412,000.00","42","77","9+","Everyone 10+"
"MARVEL Avengers Academy","$412,000.00","42","77","9+","Teen"
"Peggle Blast","$412,000.00","42","77","9+","Everyone"
"RISK: Global Domination","$412,000.00","42","77","9+","Everyone"
"True Skate","$410,200.00","53","96","4+","Everyone"
"Out There Chronicles - Ep. 1","$400,200.00","54","100","12+","Everyone"
"Retro City Rampage DX","$400,200.00","54","100","12+","Teen"
"Ingress","$400,000.00","56","103","9+","Everyone"
"DRAGON QUEST","$390,200.00","57","111","9+","Everyone"
"Battleheart Legacy","$380,200.00","58","130","12+","Teen"
"F-Sim Space Shuttle","$380,200.00","58","130","4+","Everyone"
"Farming Simulator 16","$370,200.00","60","137","4+","Everyone"
"Thomas & Friends: Race On!","$352,000.00","61","141","4+","Everyone"
"Don't Starve: Pocket Edition","$350,200.00","62","148","9+","Teen"
"LEGO® Friends","$350,200.00","62","148","4+","Everyone"
"NBA JAM by EA SPORTS™","$350,200.00","62","148","4+","Everyone"
"Please, Don't Touch Anything","$350,200.00","62","148","9+","Teen"
"Assassin's Creed Identity","$332,200.00","66","156","12+","Teen"
"LEGO Batman: DC Super Heroes","$332,200.00","66","156","9+","Everyone 10+"
"RollerCoaster Tycoon® Classic","$330,200.00","68","158","4+","Everyone"
"Battlefield™ Companion","$322,000.00","69","160","12+","Everyone 10+"
"Grand Theft Auto: San Andreas","$310,200.00","70","167","17+","Mature 17+"
"Don't Starve: Shipwrecked","$302,200.00","71","170","9+","Teen"
"I am Bread","$302,200.00","71","170","4+","Everyone"
"Baldur's Gate: Enhanced Edition","$250,200.00","73","180","12+","Teen"
"FINAL FANTASY V","$250,200.00","73","180","9+","Teen"
"XCOM®: Enemy Within","$232,200.00","75","183","17+","Mature 17+"
